,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
598,Kenneth Taylor,MF,nl Netherlands,20-212,1.nl Ajax,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ad9b2747
599,Aurélien Tchouaméni,MF,fr France,22-321,1.es Real Madrid,2000,5,5,411,4.6,1,0,1,0,0,1,0,0.22,0,0.22,0.22,0.22,0.3,0.3,0.4,0.7,0.07,0.09,0.16,0.07,0.16,Matches,4f255115
600,Yeltsin Tejeda,MF,cr Costa Rica,30-272,1.cr Club Sport Herediano,1992,3,3,269,3,1,1,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,0.4,0.4,0.1,0.5,0.14,0.02,0.17,0.14,0.17,Matches,74319b04
601,Alex Telles,DF,br Brazil,29-364,1.es Sevilla,1992,2,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e73c9bb2
602,Sorba Thomas,MF,wls Wales,23-114,2.eng Huddersfield,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8725a42e
603,Marcus Thuram,FW,fr France,25-130,1.de M'Gladbach,1997,3,0,45,0.5,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0.08,0.08,0,0.08,Matches,6f8cd6d0
604,Youri Tielemans,MF,be Belgium,25-221,1.eng Leicester City,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07,Matches,56f7a928
605,Jurriën Timber,DF,nl Netherlands,21-180,1.nl Ajax,2001,4,4,390,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,41034650
606,Karl Toko Ekambi,FWMF,cm Cameroon,30-091,1.fr Lyon,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.1,0.14,0.24,0.1,0.24,Matches,5ceba7fc
607,Nouhou Tolo,DF,cm Cameroon,25-174,1.us Seattle,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0796512f
608,Takehiro Tomiyasu,DFMF,jp Japan,24-039,1.eng Arsenal,1998,3,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.11,0.11,0,0.11,Matches,b3af9be1
609,Mehdi Torabi,MF,ir IR Iran,28-095,1.ir Persepolis,1994,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0.18,0.82,1,0.18,1,Matches,74567feb
610,Félix Torres Caicedo,DF,ec Ecuador,25-337,1.mx Santos,1997,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.1,0.1,0.4,0.6,0.04,0.15,0.19,0.04,0.19,Matches,c0a8860f
611,Ferrán Torres,FW,es Spain,22-288,1.es Barcelona,2000,4,3,217,2.4,2,0,1,1,1,0,0,0.83,0,0.83,0.41,0.41,1,0.2,0.2,0.4,0.42,0.07,0.5,0.1,0.17,Matches,9e1035f8
612,Gerson Torres,MF,cr Costa Rica,25-108,1.cr Club Sport Herediano,1997,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,d56713ff
613,Pau Torres,DF,es Spain,25-332,1.es Villarreal,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,532e1e4f
614,Kieran Trippier,DF,eng England,32-086,1.eng Newcastle Utd,1990,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.02,0.07,0.09,0.02,0.09,Matches,21512407
615,Leandro Trossard,FWMF,be Belgium,28-010,1.eng Brighton,1994,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08,Matches,38ceb24a
616,Matt Turner,GK,us United States,28-173,1.eng Arsenal,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4a51ba65
617,Ayase Ueda,FW,jp Japan,24-095,1.be Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,c0295327
618,Hwang Ui-jo,FWMF,kr Korea Republic,30-108,1.gr Olympiacos,1992,4,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4,Matches,a2d873dd
619,Dayot Upamecano,DF,fr France,24-048,1.de Bayern Munich,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,d248cd8f
620,Enner Valencia,FWMF,ec Ecuador,33-040,1.tr Fenerbahçe,1989,3,3,255,2.8,3,0,2,1,1,0,0,1.06,0,1.06,0.71,0.71,2.3,1.5,0.3,1.8,0.8,0.1,0.9,0.52,0.62,Matches,fb485406
621,Federico Valverde,MF,uy Uruguay,24-145,1.es Real Madrid,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2,Matches,0959c2a2
622,Virgil van Dijk,DF,nl Netherlands,31-159,1.eng Liverpool,1991,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches,e06683ca
623,Raphaël Varane,DF,fr France,29-233,1.eng Manchester Utd,1993,4,4,316,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.08,0,0.08,0.08,0.08,Matches,9f8e9423
624,Guillermo Varela,DF,uy Uruguay,29-265,1.br Flamengo,1993,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches,5c961282
625,Ruben Vargas,FW,ch Switzerland,24-131,1.de Augsburg,1998,4,4,285,3.2,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,0.3,0.3,0.6,0.9,0.11,0.19,0.3,0.11,0.3,Matches,6ecbddf6
626,Matías Vecino,MF,uy Uruguay,31-112,1.it Lazio,1991,3,2,195,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05,Matches,44ac04e9
627,Alexis Vega,FW,mx Mexico,25-019,1.mx Guadalajara,1997,3,3,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.39,0.06,0.44,0.39,0.44,Matches,f40f4c38
628,Miloš Veljković,DF,rs Serbia,27-079,1.de Werder Bremen,1995,3,3,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a5ae8f8e
629,Johan Venegas,FWMF,cr Costa Rica,34-017,1.cr Liga Deportiva Alajuelense,1988,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5eadd340
630,Jordan Veretout,MF,fr France,29-288,1.fr Marseille,1993,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4a56052c
631,Jan Vertonghen,DF,be Belgium,35-234,1.be Anderlecht,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches,ba23a904
632,Matías Viña,DF,uy Uruguay,25-035,1.it Roma,1997,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,08eb3b58
633,Vitinha,MF,pt Portugal,22-304,1.fr Paris S-G,2000,3,1,120,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.03,0.08,0.05,0.08,Matches,3b029691
634,Steven Vitória,DF,ca Canada,35-337,1.pt Chaves,1987,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9bc450e6
635,Dušan Vlahović,FW,rs Serbia,22-320,1.it Juventus,2000,2,1,79,0.9,1,0,1,0,0,0,0,1.14,0,1.14,1.14,1.14,0.8,0.8,0,0.8,0.92,0,0.92,0.92,0.92,Matches,79443529
636,Nikola Vlašić,FWMF,hr Croatia,25-071,1.it Torino,1997,5,1,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.29,0,0.29,0.29,0.29,Matches,aa8e289e
637,Mohammed Waad,MFDF,qa Qatar,23-087,1.qa Al Sadd SC,1999,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,94e8df02
638,Kyle Walker,DF,eng England,32-200,1.eng Manchester City,1990,3,3,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,86dd77d1
639,Danny Ward,GK,wls Wales,29-175,1.eng Leicester City,1993,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d3ce0e89
640,Kendall Waston,DF,cr Costa Rica,34-347,1.cr Deportivo Saprissa,1988,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches,02ea59b0
641,Timothy Weah,FW,us United States,22-295,1.fr Lille,2000,4,4,316,3.5,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,0.6,0.6,0.4,1.1,0.18,0.12,0.31,0.18,0.31,Matches,8eec784d
642,Wout Weghorst,FW,nl Netherlands,30-129,1.tr Beşiktaş,1992,4,0,64,0.7,2,0,2,0,0,1,0,2.81,0,2.81,2.81,2.81,0.2,0.2,0,0.2,0.52,0.08,0.6,0.52,0.6,Matches,c4e87b8b
643,Wéverton,GK,br Brazil,35-001,1.br Palmeiras,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,81be82e9
644,Silvan Widmer,DF,ch Switzerland,29-284,1.de Mainz 05,1993,3,3,265,2.9,0,1,0,0,0,1,0,0,0.34,0.34,0,0.34,0,0,0.8,0.9,0.01,0.29,0.3,0.01,0.3,Matches,f68b64fc
645,Iñaki Williams,FW,gh Ghana,28-182,1.es Athletic Club,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17,Matches,6a99e0b1
646,Neco Williams,DF,wls Wales,21-245,1.eng Nott'ham Forest,2001,3,3,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches,dd323728
647,Nico Williams,FW,es Spain,20-155,1.es Athletic Club,2002,4,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07,Matches,afdc14d7
648,Callum Wilson,FW,eng England,30-290,1.eng Newcastle Utd,1992,2,0,48,0.5,0,1,0,0,0,0,0,0,1.87,1.87,0,1.87,0,0,0.9,0.9,0,1.7,1.7,0,1.7,Matches,c596fcb0
649,Harry Wilson,MFFW,wls Wales,25-267,1.eng Fulham,1997,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.05,0.28,0.33,0.05,0.33,Matches,c6dc9ecd
650,Roan Wilson,MF,cr Costa Rica,20-227,1.cr Municipal Grecia,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,719300f2
651,Axel Witsel,MF,be Belgium,33-336,1.es Atlético Madrid,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02,Matches,5dfc6ad5
652,Jeong Woo-yeong,MF,kr Korea Republic,23-085,1.de Freiburg,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,6190474d
653,Jung Woo-young,MF,kr Korea Republic,33-000,1.qa Al Sadd SC,1989,4,4,303,3.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches,858a34b8
654,Christopher Wooh,DF,cm Cameroon,21-087,1.fr Rennes,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,b003239d
655,David Wotherspoon,MF,ca Canada,32-332,1.sct St Johnstone,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e9a9b1fa
656,Bailey Wright,DF,au Australia,30-139,2.eng Sunderland,1992,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4be70ecf
657,Haji Wright,FW,us United States,24-262,1.tr Antalyaspor,1998,4,1,137,1.5,1,0,1,0,0,0,0,0.66,0,0.66,0.66,0.66,0.5,0.5,0,0.6,0.35,0.02,0.37,0.35,0.37,Matches,91cd37b7
658,Granit Xhaka,MF,ch Switzerland,30-078,1.eng Arsenal,1992,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.08,0.02,0.1,0.08,0.1,Matches,e61b8aee
659,Miki Yamane,DFMF,jp Japan,28-357,1.jp Kawa Frontale,1993,1,1,61,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.11,0.11,0,0.11,Matches,b712e02d
660,Jawad El Yamiq,DF,ma Morocco,30-288,1.es Valladolid,1992,4,1,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f6f6b6e8
661,Taha Yassine Khenissi,FW,tn Tunisia,30-342,1.kw Kuwait SC,1992,2,0,29,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.2,0.06,0.45,0.51,0.06,0.51,Matches,44d6aedb
662,DeAndre Yedlin,DF,us United States,29-158,1.us Inter Miami,1993,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ae0a7ddf
663,Maya Yoshida,DF,jp Japan,34-112,1.de Schalke 04,1988,4,4,390,4.3,0,1,0,0,0,1,0,0,0.23,0.23,0,0.23,0,0,0.4,0.4,0,0.09,0.09,0,0.09,Matches,caffaf5a
664,Kim Young-gwon,DF,kr Korea Republic,32-290,1.kr Ulsan Hyundai,1990,4,4,350,3.9,1,0,1,0,0,1,0,0.26,0,0.26,0.26,0.26,0.8,0.8,0.2,0.9,0.19,0.05,0.24,0.19,0.24,Matches,9459ace1
665,Cho Yumin,FW,kr Korea Republic,26-027,2.kr Daejeon Citizen FC,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7a4529dc
666,Denis Zakaria,MF,ch Switzerland,26-024,1.eng Chelsea,1996,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches,384d58d9
667,Nicola Zalewski,MF,pl Poland,20-325,1.it Roma,2002,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,45191c29
668,Andre-Frank Zambo Anguissa,MF,cm Cameroon,27-028,1.it Napoli,1995,3,3,260,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,6bb2c084
669,Álvaro Zamora,MF,cr Costa Rica,20-280,1.cr Deportivo Saprissa,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d050756d
670,Piotr Zieliński,MFFW,pl Poland,28-208,1.it Napoli,1994,4,4,328,3.6,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.6,0.6,0.4,1,0.16,0.11,0.26,0.16,0.26,Matches,a5296e55
671,Walker Zimmerman,DF,us United States,29-209,1.us Nashville,1993,4,3,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,220fa883
672,Andrija Živković,DF,rs Serbia,26-156,1.gr PAOK,1996,3,3,210,2.3,0,2,0,0,0,0,0,0,0.86,0.86,0,0.86,0.1,0.1,1.1,1.2,0.03,0.48,0.5,0.03,0.5,Matches,321f83a2
673,Hakim Ziyech,FW,ma Morocco,29-270,1.eng Chelsea,1993,5,5,455,5.1,1,1,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4,0.3,0.3,0.6,0.9,0.06,0.13,0.19,0.06,0.19,Matches,6622454d
674,Filip Đuričić,MFFW,rs Serbia,30-318,1.it Sampdoria,1992,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches,eccbe56a
